rank	token	lemma_guess	count	cum_count	cum_pct_missing	cum_pct_corpus	category	english_gloss
3411	permettergli	permettergli	639	10376016	74.1346	4.2952	tokeniser_fixable	
3412	impedirmi	impedirmi	638	10376654	74.1391	4.2955	tokeniser_fixable	
3413	melvin	melvin	638	10377292	74.1437	4.2958	proper_noun	
3414	ruxin	ruxin	638	10377930	74.1483	4.2960	residual	
3415	abituarsi	abituarsi	637	10378567	74.1528	4.2963	tokeniser_fixable	to get used or to get accustomed, Used other than figuratively or idiomatically: compound of the infinitive abituare with si
3416	edwin	edwin	637	10379204	74.1574	4.2966	proper_noun	
3417	fartene	fartene	637	10379841	74.1619	4.2968	tokeniser_fixable	
3418	mossad	mossad	637	10380478	74.1665	4.2971	residual	
3419	rivedro	rivedro	637	10381115	74.1710	4.2974	residual	
3420	gon	gon	636	10381751	74.1756	4.2976	foreign_word	
3421	helene	helene	636	10382387	74.1801	4.2979	proper_noun	
3422	arrendermi	arrendermi	635	10383022	74.1846	4.2981	tokeniser_fixable	
3423	dodge	dodge	635	10383657	74.1892	4.2984	foreign_word	
3424	johnnie	johnnie	635	10384292	74.1937	4.2987	proper_noun	
3425	rebekah	rebekah	635	10384927	74.1982	4.2989	proper_noun	
3426	sposami	sposami	635	10385562	74.2028	4.2992	tokeniser_fixable	
3427	tommaso	tommaso	635	10386197	74.2073	4.2995	proper_noun	Thomas, a male given name
3428	arrapato	arrapato	634	10386831	74.2119	4.2997	residual	aroused
3429	kemp	kemp	634	10387465	74.2164	4.3000	foreign_word	
3430	kristin	kristin	634	10388099	74.2209	4.3002	proper_noun	
3431	smamma	smammare	634	10388733	74.2254	4.3005	residual	to wean, to vamoose, to clear off, to go away
3432	spiegartelo	spiegartelo	634	10389367	74.2300	4.3008	tokeniser_fixable	
3433	bluebell	bluebell	633	10390000	74.2345	4.3010	foreign_word	
3434	facciamogli	facciamogli	633	10390633	74.2390	4.3013	residual	
3435	hilda	hilda	633	10391266	74.2435	4.3016	proper_noun	
3436	ipoteticamente	ipoteticamente	633	10391899	74.2481	4.3018	residual	hypothetically
3437	lucifer	lucifer	633	10392532	74.2526	4.3021	foreign_word	
3438	oltreoceano	oltreoceano	633	10393165	74.2571	4.3023	residual	overseas
